x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,Y
99.2,89.984,-0.65,3.1,10.18,2.591,7.98,8.06,98.31,9,7.98,80.8,1288.9,2.3,9.5,778.7,767,0,38.36,162,162,162,162.6,162.6,162,162,162,161.9,162,161.9,162.4,162.5,162,162,161.9,34.7,1
98.1,90.026,-0.03,3.11,10.29,2.605,7.99,8.08,98.34,9,8,80.2,1292.9,2.9,10.1,778.3,766.3,0,38.35,162,162,162,162.6,162.6,162,162,162,162,162,162,162.5,162.5,162.1,162,162,34.4,0
98,89.978,-0.71,3.11,9.85,2.592,7.99,8.09,98.33,9,8,80.1,1290.4,2.9,9.8,778.5,766.3,0,38.34,162,162,162,162.6,162.7,162,162,162,162,162,162,162.4,162.5,162.1,162.1,162.2,34.8,0
98,90.048,0.15,3.12,9.95,2.615,8.02,8.1,98.34,9,8.03,78.3,1298.8,2.7,9.6,778.5,766,0,38.35,162,162,162,162.2,162.5,162.1,161.9,162,161.9,162,162,162,162.1,162,162,162,35,1
98.3,90,0.51,3.11,9.72,2.622,7.99,8.09,98.33,9,8,78.1,1304.3,2.6,1.1,779.1,766.3,0,0,161.9,162,162,161.9,162,161.9,162.1,161.8,162,162,162.2,162,162.1,162.2,161.9,162,33.8,0
96.8,89.947,-0.93,3.11,10.08,2.594,8.03,8.1,98.33,9,8.03,78,1290.3,2.8,9.7,778.8,767.1,0,38.26,162,161.9,162,162.3,162.6,162,162,162.1,162.1,162.1,162,162.2,162.2,162,161.9,161.8,35,0
98.2,89.977,-0.69,3.1,10.15,2.599,8,8.1,98.31,9,8,78.3,1291.1,2.5,9.4,778.8,766.7,0,38.36,162,162.1,162.1,162.7,162.7,162,162,162,162,162,162,162.5,162.5,161.9,162,162,34.7,0
99.1,89.975,-0.44,3.11,10.25,2.604,8.02,8.09,98.35,9,8.02,77.5,1292.6,2.8,10.4,779.4,767.4,0,38.37,162,161.9,161.9,162.6,162.6,161.9,161.9,162,161.9,161.9,162,162.5,162.5,162,162,162,34.9,0
98.5,89.935,-0.23,3.11,10.32,2.609,8,8.08,98.3,9,8,77.3,1297.4,2.4,10,779,767,0,38.34,162,162,162,162.6,162.7,162,162,162,162,162,162,162.5,162.5,162,161.9,162,35,1
97.1,89.853,-0.32,3.06,10.42,2.593,8.1,8.2,98.33,9.5,8.11,84.2,1290.4,2.9,10.7,781.3,765.4,0,38.27,162,162,162,162,162.4,162,161.9,162,162.1,162,162,162,162,162,162,162,30.4,1
98.1,89.912,0.3,3.07,10.41,2.591,8.09,8.18,98.31,9.5,8.1,81.8,1291.2,3.1,10.3,781.4,765.3,0,38.26,162,162,162,162,162.4,162.1,161.9,162,162,162,162.1,162.1,162.2,162,162,161.9,32.9,0
98.3,89.979,-0.14,3.09,10.34,2.591,8.08,8.17,98.33,9.5,8.09,80.4,1292.9,2.8,10.5,780.4,765,0,38.36,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162,162,162,162.1,34.8,0
98.4,90.008,0.33,3.09,10.31,2.6,8.07,8.14,98.31,9.5,8.08,79.8,1294.8,2.8,10.5,780.3,764.4,0,38.35,161.9,161.9,161.9,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162.1,34.8,0
98.4,90.002,0.28,3.09,10.35,2.599,8.08,8.15,98.31,9.5,8.09,80.1,1294.2,3,10.4,780,768.4,0,38.35,162.1,162.1,162.1,162,162.3,162,162,162,162,162.1,162,162,162,161.9,162,162,35,1
98.3,90.041,-0.05,3.08,10.35,2.592,8.08,8.15,98.33,9.5,8.09,80.2,1289.7,2.7,9.5,780,764.6,0,38.26,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162,34.4,0
98.3,90.018,-0.07,3.09,10.46,2.593,8.09,8.16,98.33,9.5,8.1,80.3,1292.3,2.9,10.2,779.2,763.8,0,38.35,162,162,162,162,162.4,162,162,162,162,162,162,162.1,162.2,162,162,162,35,0
98.4,90.09,-1.01,3.08,10.37,2.569,8,8.09,98.31,9.5,8,80.3,1281.1,2.7,10.4,779.9,764.7,0,38.34,162,162,162,162,162.4,162,161.9,162,162,162,162.1,162.2,162.1,162,162,162,34.5,0
98.3,90.084,-0.3,3.09,10.14,2.587,8.04,8.1,98.33,9.5,8.04,80.1,1288.3,2.8,10.6,779.5,763.9,0,38.36,162,162,162,162,162.4,162,162,162,162,162,162,162.1,162.1,162,162,162,34.6,0
97.9,90.06,-0.47,3.09,9.83,2.584,8.06,8.13,98.33,9.5,8.07,80.4,1287.8,2.7,9.5,780,767.9,0,38.28,162,162,162,162,162.4,162,162,162,162,162,162.1,162.2,162.1,162.1,162,162,34.6,0
95.8,90.029,-1.07,3.09,9.83,2.575,8.12,8.19,98.37,9.5,8.12,81,1285.4,2.9,10.4,779.7,767.5,0,38.36,162,162,162,162,162.3,162,162,162,162,162.1,162,162,162.1,162,162,162,34,0
98.3,90.078,-0.4,3.09,10.17,2.585,8.07,8.14,98.35,9.5,8.07,80.5,1287.5,2.8,10.3,780,767.8,0,38.35,162,162,162,162,162.4,162,162,162,162,162,162,162.1,162.1,162,162,162,34.5,0
98.4,90.086,-0.53,3.08,10.07,2.58,8.03,8.1,98.33,9.5,8.03,80.1,1285.5,3,10.5,779.4,766.9,0,38.35,162.1,162.1,162.1,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162,34.7,0
98.5,90.098,-0.46,3.09,10.11,2.582,8,8.07,98.33,9.5,8,81.2,1285.9,2.7,9.6,780.3,768,0,38.18,162,162,162,162,162.4,162,162,162,162,162,162,162,162.1,162,162,162,34.6,0
98.3,90.078,-0.05,3.09,10.28,2.592,8.05,8.14,98.34,9.5,8.05,80.5,1290.8,2.7,9.4,780.3,768.4,0,38.26,162,162,162,162,162.4,162,162,162,162,162,162,162.1,162.1,162,162,162,34.8,0
98.4,90.061,-0.22,3.09,10.57,2.589,8.07,8.13,98.35,9.5,8.08,80.3,1289.7,3.2,9.3,779.7,767.7,0,38.26,162,162,162.1,162,162.4,162,162,162,162,162,162,162.1,162.1,162,162,162,34.7,0
98.2,90.055,-0.48,3.08,10.38,2.583,8.05,8.14,98.33,9.5,8.05,80.5,1288.2,2.7,9.6,779.9,767.7,0,38.26,162,162,162,162,162.3,162,162,162,161.9,162,162,162.1,162.1,162,162,162,34.6,0
97.3,90.082,-1.46,3.09,10.29,2.561,8.03,8.1,98.35,9.5,8.04,80.4,1278.1,2.7,10.1,780.6,764.4,0,38.26,162,162,162,162.1,162.4,162,162.1,162,162,162,162,162.1,162.1,162,162,162,35,0
98.2,90.128,-0.53,3.09,10.74,2.578,7.98,8.05,98.33,9.5,8,81.2,1283.3,2.7,9.3,779.9,764.1,0,38.33,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.2,162,162,162.1,35.1,0
98.6,90.112,-1.27,3.08,10.43,2.563,8,8.06,98.33,9.5,8,79.9,1277.6,2.9,10.4,779.1,763.5,0,38.25,162,162.1,162.1,162,162.4,162,162,162,162,162,162,162.1,162.2,162.1,162,162,33.9,0
97.2,90.045,-0.75,3.09,10.25,2.579,8.05,8.12,98.33,9.5,8.07,80.6,1287.4,2.7,10.1,780.2,768.4,0,38.36,162,162,162,162,162.3,162,161.9,162,162,162,162,162.1,162.2,162,162,162,35,0
96.8,90.081,-0.36,3.02,10.92,2.56,7.98,8.07,98.33,9.5,8,83.1,1304.3,3,9.4,781.8,768.6,0,38.27,162,162,161.9,162.1,162.6,162.1,161.7,162.2,162,162,162,162,162.1,162,162,162,32.5,0
93.9,90.044,-0.29,3.03,10.72,2.566,8.02,8.1,98.34,9.5,8.02,81.9,1308.6,2.9,9.8,781,765,0,38.25,162,162,162,162,162.4,162,162,162,162,162,161.9,162.1,162.1,162,162,162,34.6,0
98.6,90.031,-0.71,3.03,10.18,2.567,8,8.07,98.33,9.5,8.01,80.7,1308.6,2.8,10.3,780.6,764.7,0,38.26,162,162,162,162.1,162.4,162.1,161.9,162,162,162,162,162.1,162.1,162,162,162,35,0
99,90.042,-0.19,3.03,10.6,2.577,7.99,8.07,98.31,9.5,8,80.2,1312.7,2.5,10.2,779.8,764,0.1,38.27,162,162,162,162,162.3,162,162,162,162,161.9,162,162.1,162.2,162,162,161.9,34.8,0
97.8,90.004,0.5,3.03,10.94,2.592,8.01,8.09,98.31,9.5,8.02,80.4,1319.8,2.7,9.8,779.8,764.8,0,38.17,162,162,162,162.1,162.4,162,161.9,162,162,162,162,162.1,162.2,162,162,162,35,0
99,89.978,0.38,3.03,10.84,2.591,8.05,8.13,98.31,9.5,8.06,81,1320.1,2.8,9.5,780.1,764.7,0.1,38.31,162,162,162,162,162.3,162,162.1,162,162,162.1,162,162.1,162.1,162,162.1,162,34.6,0
98.9,89.998,-0.51,3.03,11.06,2.572,8.03,8.11,98.31,9.5,8.04,80.5,1311.4,2.2,9.6,781,765.2,0,38.26,162,162,162,162,162.4,162,162,162,162,162,162.1,162.1,162.2,162,162,162,33.9,0
99,90.036,-0.44,3.03,10.99,2.571,7.99,8.07,98.3,9.5,8,80.2,1309.5,2.6,9.8,781,765,0,38.26,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.2,162,162,162,34.8,0
97.2,90.013,0.43,3.03,11.23,2.59,8.02,8.09,98.31,9.5,8.03,80.4,1318.5,2.3,9.3,780.4,764.9,0.1,38.26,162,162,162,162,162.3,161.9,162,162,162,162,162,162.2,162.2,162,162,162,34.8,0
99.5,89.998,0.08,3.03,11.09,2.585,8.03,8.1,98.29,9.5,8.04,80.3,1317.3,2.6,9.5,780.7,765.2,0,38.16,162,162,162,162,162.4,162,162,162,162,162,162,162.1,162.1,162,161.9,162,34.8,0
97.6,89.968,-0.15,3.03,10.55,2.584,8.09,8.17,98.33,9.5,8.1,80.7,1317.1,2.6,10.5,780.1,764.6,0,38.24,162,162,162,162,162.4,162,162,162,162,162,162,162.1,162.1,162,162,162,35.2,0
98.6,89.97,0.81,3.03,10.3,2.605,8.07,8.15,98.33,9.5,8.08,81,1326.5,2.6,9.9,779.6,763.9,0,38.18,162.1,162.1,162.1,162,162.3,162,162,162,161.9,162,162,162.1,162.1,162,162,162,34.7,0
96.5,89.949,-0.16,3.03,10.17,2.585,8.09,8.16,98.31,9.5,8.1,80.3,1318.5,2.4,9.9,780.7,769,0,38.26,162,162,162,162,162.3,162,162,162,162,162,161.9,162.1,162.2,162,162,162.2,34.8,0
95.9,89.965,-0.69,3.03,10.29,2.573,8.09,8.15,98.33,9.5,8.1,80.2,1312,2.9,10.5,780.8,768.7,0.11,38.27,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162.1,34.7,0
97.3,90.007,-0.72,3.03,10.09,2.571,8.09,8.17,98.36,9.5,8.1,80.1,1309.7,2.6,9.3,780.7,768.7,0,38.26,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162,34.4,0
98.8,90.019,0.39,3.03,10.24,2.594,8.05,8.14,98.35,9.5,8.07,80.6,1319.9,2.7,10.3,780.3,768.2,0,38.26,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162,34.7,0
97.6,89.984,-0.39,3.03,10.5,2.577,8.07,8.13,98.31,9.5,8.08,80.4,1314.2,2.8,10.3,780.5,768.7,0,38.17,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162,34.9,0
98.6,90.031,0.05,3.03,10.64,2.583,8.03,8.1,98.31,9.5,8.03,80.2,1315.1,2.4,9.8,780,768.2,0,38.25,161.9,162,161.9,162,162.3,162,162,162.1,162,162.1,162.1,162.1,162.1,162,162,161.9,34.4,0
98.7,89.989,-0.15,3.03,10.72,2.581,8.07,8.13,98.31,9.5,8.07,80.4,1315.8,2.9,9.4,780.8,768.6,0,38.24,162,162,162,162,162.3,162,162,162,162,162,162,162.1,162.1,162,162,162,34.9,0
